FrameNumber,Status,CentroidX,CentroidY,RectX,RectY,RectW,RectH
328,OK,246,327,173,269,135,93
329,OK,240,321,174,261,120,99
330,OK,238,317,171,253,125,108
331,OK,237,312,166,246,134,113
332,OK,233,305,162,241,131,111
333,OK,228,298,158,236,130,107
334,OK,225,292,153,232,133,103
335,OK,222,287,149,229,134,99
336,OK,219,283,146,225,135,98
337,OK,216,279,142,222,136,96
338,OK,214,275,140,219,136,96
339,OK,211,272,137,216,137,95
340,OK,210,269,142,213,126,90
341,OK,207,267,145,210,117,86
342,OK,201,264,151,209,90,87
343,OK,197,260,149,207,78,86
344,OK,197,256,146,206,87,84
345,OK,199,252,144,204,95,82
346,OK,202,249,143,203,100,77
347,OK,204,248,140,201,108,74
348,OK,206,246,139,200,113,71
349,OK,215,243,149,198,116,73
350,OK,222,240,154,196,121,74
351,OK,226,238,148,193,137,72
352,OK,231,236,146,190,148,70
353,OK,239,233,151,188,151,69
354,OK,248,230,159,185,151,70
355,OK,255,228,167,183,150,69
356,OK,262,226,174,181,150,69
357,OK,269,224,181,179,150,70
358,OK,275,222,188,177,149,69
359,OK,280,218,195,173,146,71
360,OK,283,215,200,171,145,69
361,OK,286,212,203,168,145,68
362,OK,289,210,204,166,147,67
363,OK,291,208,204,164,150,67
364,OK,294,206,206,163,151,66
365,OK,297,204,210,161,150,66
366,OK,305,202,222,160,144,67
367,OK,314,200,235,159,141,66
368,OK,321,199,235,158,152,63
369,OK,330,198,240,158,158,62
370,OK,340,197,249,157,159,62
371,OK,350,196,259,156,158,62
372,OK,358,196,267,156,159,62
373,OK,365,195,274,154,159,63
374,OK,372,193,280,152,159,63
375,OK,379,191,288,149,158,64
376,OK,385,189,294,148,158,63
377,OK,391,188,300,146,158,64
378,OK,396,187,305,145,159,63
379,OK,402,185,312,143,157,64
380,OK,407,184,317,142,157,63
381,OK,412,183,322,141,157,64
382,OK,417,181,333,139,146,65
383,OK,424,180,342,135,141,70
384,OK,432,178,350,131,140,72
385,OK,439,175,356,128,141,73
386,OK,447,171,365,126,139,70
387,OK,455,169,376,124,137,71
388,OK,465,166,391,123,132,72
389,OK,469,166,395,123,133,68
390,OK,472,165,389,122,146,68
391,OK,477,165,392,120,150,73
392,OK,484,165,396,116,153,81
393,OK,491,167,404,115,152,84
394,OK,496,169,409,116,153,85
395,OK,501,171,412,119,155,84
396,OK,506,173,416,123,157,82
397,OK,512,176,429,130,144,80
398,OK,520,180,442,131,133,88
399,OK,528,184,450,122,134,106
400,OK,540,192,464,126,130,110
401,OK,549,200,472,135,130,110
402,OK,557,208,481,140,131,112
403,OK,568,219,497,154,124,105
404,OK,574,226,498,164,130,101
405,OK,582,233,504,174,132,97
406,OK,588,239,509,183,133,94
407,OK,594,245,517,189,132,93
408,OK,604,254,534,197,124,93
409,OK,611,260,537,201,130,96
410,OK,616,266,533,207,143,98
411,OK,624,273,540,215,145,96
412,OK,631,279,547,220,145,96
413,OK,638,284,553,225,146,97
414,OK,644,289,561,232,144,94
415,OK,651,294,569,238,142,92
416,OK,657,299,575,243,141,91
417,OK,665,305,586,250,138,89
418,OK,673,310,599,256,132,88
419,OK,679,314,599,257,140,93
420,OK,685,318,599,262,147,94
421,OK,692,323,607,266,147,95
422,OK,698,328,613,270,147,96
423,OK,704,333,619,275,147,95
424,OK,709,337,627,281,141,92
425,OK,714,341,640,294,123,85
426,OK,722,348,661,300,97,84
427,OK,726,354,678,304,79,84
428,OK,726,358,672,307,88,84
429,OK,725,363,665,308,98,87
430,OK,719,368,655,312,104,84
431,OK,718,369,648,319,116,77
432,OK,716,370,641,325,129,73
433,OK,712,372,633,325,142,75
434,OK,707,373,626,326,151,76
435,OK,700,375,620,328,149,76
436,OK,695,377,614,330,150,76
437,OK,690,380,609,334,147,75
438,OK,683,381,604,332,143,81
439,OK,677,382,598,328,144,87
440,OK,671,385,591,333,149,84
441,OK,664,388,584,338,146,81
442,OK,658,390,578,343,147,78
443,OK,653,392,573,347,147,75
444,OK,648,394,568,349,149,75
445,OK,644,396,563,351,151,75
446,OK,639,398,558,353,152,75
447,OK,635,399,554,354,153,75
448,OK,631,401,550,356,153,75
449,OK,627,402,546,357,152,75
450,OK,624,404,543,358,151,75
451,OK,620,405,539,360,152,74
452,OK,617,406,536,361,151,75
453,OK,614,408,533,362,151,75
454,OK,611,409,529,363,152,75
455,OK,608,409,527,363,150,74
456,OK,607,409,531,360,138,76
457,OK,603,411,535,369,124,67
458,OK,598,412,535,370,111,66
459,OK,595,413,535,369,104,69
460,OK,592,412,533,368,102,69
461,OK,587,410,535,365,90,72
462,OK,580,407,532,364,81,71
463,OK,582,405,530,364,89,65
464,OK,584,404,528,362,98,65
465,OK,589,405,531,361,103,67
466,OK,589,405,525,359,116,69
467,OK,591,405,521,360,126,70
468,OK,594,406,518,361,134,72
469,OK,596,408,512,364,146,71
470,OK,599,409,512,365,150,72
471,OK,603,411,516,367,151,72
472,OK,608,413,521,369,150,72
473,OK,611,415,525,371,149,71
474,OK,615,417,528,373,149,71
475,OK,618,418,532,375,148,70
476,OK,621,420,536,376,148,71
477,OK,625,421,540,378,147,71
478,OK,628,423,544,379,146,71
479,OK,631,424,547,380,145,72
